X,Y,Z,U_exact,U_approx
-0.7916666666666667,0.47916666666666663,0.0,0.232967,0.232944
-0.7916666666666667,0.4895833333333333,0.0,0.229916,0.22989
-0.7916666666666667,0.5,0.0,0.226942,0.226912
-0.75,0.0,0.0,0.707107,0.707107
-0.75,0.010416666666666666,0.0,0.68419,0.68419
-0.75,0.020833333333333332,0.0,0.662638,0.662638
-0.75,0.03125,0.0,0.642355,0.642355
-0.75,0.041666666666666664,0.0,0.623247,0.623247
-0.75,0.05208333333333333,0.0,0.605225,0.605226
-0.75,0.0625,0.0,0.588207,0.588208
-0.75,0.07291666666666666,0.0,0.572118,0.572119
-0.75,0.08333333333333333,0.0,0.556886,0.556887
-0.75,0.09375,0.0,0.542449,0.54245
-0.75,0.10416666666666666,0.0,0.528747,0.528748
-0.75,0.11458333333333333,0.0,0.515727,0.515729
-0.75,0.125,0.0,0.503341,0.503342
-0.75,0.13541666666666666,0.0,0.491543,0.491544
-0.75,0.14583333333333331,0.0,0.480294,0.480295
-0.75,0.15625,0.0,0.469556,0.469557
-0.75,0.16666666666666666,0.0,0.459294,0.459295
-0.75,0.17708333333333331,0.0,0.449479,0.44948
-0.75,0.1875,0.0,0.440081,0.440081
-0.75,0.19791666666666666,0.0,0.431074,0.431074
-0.75,0.20833333333333331,0.0,0.422434,0.422433
-0.75,0.21875,0.0,0.414138,0.414137
-0.75,0.22916666666666666,0.0,0.406166,0.406166
-0.75,0.23958333333333331,0.0,0.3985,0.398499
-0.75,0.25,0.0,0.391121,0.39112
-0.75,0.26041666666666663,0.0,0.384014,0.384013
-0.75,0.2708333333333333,0.0,0.377164,0.377162
-0.75,0.28125,0.0,0.370555,0.370553
-0.75,0.29166666666666663,0.0,0.364176,0.364174
-0.75,0.3020833333333333,0.0,0.358015,0.358013
-0.75,0.3125,0.0,0.35206,0.352057
-0.75,0.32291666666666663,0.0,0.3463,0.346297
-0.75,0.3333333333333333,0.0,0.340726,0.340723
-0.75,0.34375,0.0,0.335329,0.335326
